P1;function;P2;digits
001;AGC FAST DELAY;20 ~ 4000 msec (P2= 0020 ~ 4000, 20 msec/step);4
002;AGC MID DELAY;20 ~ 4000 msec (P2= 0020 ~ 4000, 20 msec/step);4
003;AGC SLOW DELAY;20 ~ 4000 msec (P2= 0020 ~ 4000, 20 msec/step);4
004;HOME FUNCTION;0: SCOPE 1: FUNCTION;1
005;MY CALL INDICATION;0 ~ 5 sec;1
006;DISPLAY COLOR;0: BLUE 1: GRAY 2: GREEN 3: ORANGE 4: PURPLE 5: RED 6: SKY BLUE;1
007;DIMMER LED;0: 1 1: 2;1
008;DIMMER TFT;00 ~ 15;2
009;BAR MTR PEAK HOLD;0: OFF 1: 0.5 sec 2: 1.0 sec 3: 2.0 sec;1
010;DVS RX OUT LEVEL;0 ~ 100 (P2 = 000 ~ 100);3
011;DVS TX OUT LEVEL;0 ~ 100 (P2 = 000 ~ 100);3
012;KEYER TYPE;0: OFF 1: BUG 2: ELEKEY-A 3: ELEKEY-B 4: ELEKEY-Y 5: ACS;1
013;KEYER DOT/DASH;0: NORNAL 1: REVERSE;1
014;CW WEIGHT;2.5 ~ 4.5 (P2 = 25 ~ 45);2
015;BEACON INTERVAL;OFF / 1 ~ 690 sec (P2 = 000 ~ 690, 000: OFF);3
016;NUMBER STYLE;0: 1290 1: AUNO 2: AUNT 3: A2NO 4: A2NT 5: 12NO 6: 12NT;1
017;CONTEST NUMBER;0000 ~ 9999;4
018;CW MEMORY 1;0: TEXT 1: MESSAGE;1
019;CW MEMORY 2;0: TEXT 1: MESSAGE;1
020;CW MEMORY 3;0: TEXT 1: MESSAGE;1
021;CW MEMORY 4;0: TEXT 1: MESSAGE;1
022;CW MEMORY 5;0: TEXT 1: MESSAGE;1
023;NB WIDTH;0: 1 ms 1: 3 ms 2: 10 ms;1
024;NB REJECTION;0: 10 dB 1: 30 dB 2: 50 dB;1
025;NB LEVEL;0 ~ 10 (P2 = 00 ~ 10);2
026;BEEP LEVEL;0 ~ 100 (P2 = 000 ~ 100);3
027;TIME ZONE;UTC –12:00 ~ +14:00;5
028;GPS/232C SELECT;0: GPS 1: RS232C;1
029;232C RATE;0: 4800 bps 1: 9600 bps 2: 19200 bps 3: 38400 bps;1
030;232C TOT;0: 10 msec 1: 100 msec 2: 1000 msec 3: 3000 msec;1
031;CAT RATE;0: 4800 bps 1: 9600 bps 2: 19200 bps 3: 38400 bps;1
032;CAT TOT;0: 10 msec 1: 100 msec 2: 1000 msec 3: 3000 msec;1
033;CAT RTS;0: DISABLE 1: ENABLE;1
034;MEM GROUP;0: DISABLE 1: ENABLE;1
035;QUICK SPLIT FREQ;–20 kHz ~ +00 (or –00) ~ +20 kHz (P2= –20 ~ +00 or –00 ~ +20);3
036;TX TOT;0 (OFF) ~ 30 min (P2= 00 ~ 30);2
037;MIC SCAN;0: DISABLE 1: ENABLE;1
038;MIC SCAN RESUME;0: PAUSE 1: TIME;1
039;REF FREQ ADJ;–25 ~ +00 (or –00) ~ +25 (P2= –25 ~ +00 or –00 ~ +25);3
040;CLAR MODE SELECT;0: RX 1: TX 2: TRX;1
041;AM LCUT FREQ;00: OFF 01: 100 Hz ~ 19: 1000 Hz (50 Hz steps);2
042;AM LCUT SLOPE;0: 6 dB/oct 1: 18 dB/oct;1
043;AM HCUT FREQ;00: OFF 01: 700 Hz ~ 67: 4000 Hz (50 Hz steps);2
044;AM HCUT SLOPE;0: 6 dB/oct 1: 18 dB/oct;1
045;AM MIC SELECT;0: MIC 1: REAR;1
046;AM OUT LEVEL;0 ~ 100 (P2 = 000 ~ 100);3
047;AM PTT SELECT;0: DAKY 1: RTS 2: DTR;1
048;AM PORT SELECT;0: DATA 1: USB;1
049;AM DATA GAIN;0 ~ 100 (P2 = 000 ~ 100);3
050;CW LCUT FREQ;00: OFF 01: 100 Hz ~ 19: 1000 Hz (50 Hz steps);2
051;CW LCUT SLOPE;0: 6 dB/oct 1: 18 dB/oct;1
052;CW HCUT FREQ;00: OFF 01: 700 Hz ~ 67: 4000 Hz (50 Hz steps);2
